Page Variable,id,title,"name	",slug,content,content_full,"headline	",attachments,type_name,author,"published_at	","meta_image_url	",parent
Description,id number assigned to page,,,,this is before the flip,,,Array of page attachments,"Blog, Donation, Petition Signature, but use slug: blog, volunteer_signup",,When this page was published,Logo used by Facebook share/digg/etc,
Liquid,{{ page.id }},{{ page.title }},{{ page.name }},{{ page.slug}},{{ post.blog_post.content }}, {{ post.blog_post.content_full }},{{ page.headline }},,type_slug,{{ page.author.published_name }},"{{ page.published_at | date: '%b %d, %Y %l:%M %p' }}",{{ page.meta_image_url }}, {{ page.parent.title }}
,100,News_100,News_100,news_100,This is about the latest news on page 100. Interested? Share it with your friends. ,"Lorem ipsum dolor sit amet, ius ornatus molestie te, errem fierent ad mel. Ad debet timeam his, tibique delectus no nam. Pro meis quaestio ullamcorper ea, et sit ullum convenire, sit no vocent constituto. Eleifend delicatissimi cu sit, labores voluptua mei an. Veri periculis constituam id sit.
Affert regione in mea, ea quo dicam dissentiunt. Omnesque reprimique intellegam has ea. Vel et choro appetere. Ad ferri feugait conceptam nec, ut sed iuvaret volumus. Vix no simul legimus senserit, his cu atqui omnium aliquid, cu mel illud porro detracto.
Pri vide ludus affert ut. Sit clita perpetua id, no decore ubique dissentiet quo. Qui ea aliquid fuisset deterruisset. Vel magna prima ut. Intellegat quaerendum qui at.
Prompta ullamcorper ius ei. Per utamur equidem admodum ex, referrentur comprehensam eos ut, an quo quem albucius. Mei graeco apeirian neglegentur no. Soleat eleifend ex cum, no mea ferri habemus.
Pri epicurei fabellas no. Euripidis suscipiantur id qui, sed cibo tincidunt eu. Partem feugiat nec no, te diceret voluptua referrentur pro. Cu congue splendide mei, cu legere iriure commune nec. Amet inani incorrupte ei duo, an error nonumy mediocritatem eos. Elitr detracto mei an, prima etiam vix cu, ea eos congue scripserit.
Ei ius dictas debitis minimum. His te elitr delicata quaerendum, est volutpat explicari assentior no, eos alii aliquid tractatos ea. Ipsum efficiendi at vix, nec ipsum labore praesent te. Pro id aeque suavitate, porro etiam detraxit ne mel, usu duis primis regione at.
An vix rebum scripta persius. Has nonumes singulis id, nam ea vidisse repudiare consequuntur. An dicant ignota est, ea ius graeci diceret, esse posse patrioque est at. Ex labore aperiri probatus mel, cibo fastidii ad usu. Mei essent alterum perpetua et. Qui everti argumentum in, in quo viderer instructior.
No vim perfecto consectetuer, vis ex utamur efficiendi. Minim veniam senserit te pri, te rebum summo suavitate qui, ex maiorum partiendo nam. Ut quo dolore graeco, et aliquip aliquam sea, ex has elitr ornatus corrumpit. Mea ex labores recteque vituperata, ad nec movet aliquip, reprehendunt mediocritatem no eam. Blandit contentiones ea mea.
Affert epicuri adipisci sea ne. Rebum nihil scribentur qui ut, no vis habemus appetere. Ex etiam nobis alterum est, te pertinax inimicus vel. Pri possit ocurreret ut.
Tation vituperata signiferumque ut pri, ad accusam scripserit contentiones eam, nam virtute hendrerit eu. Nam ne falli mandamus, ex sit choro ponderum tincidunt, qui prima epicurei ei. Eu quod reprimique vim, ut iudico labores ancillae per. Eu percipit disputando usu, quidam bonorum forensibus ei duo. Est ex minimum molestiae.",News Today,,blog_post,Lizzie Sullivan,"Feb20,20168:20AM",http://d3n8a8pro7vhmx.cloudfront.net/themes/57b2f28833893fb081000001/attachments/original/1475234180/For-Purpose-logo-rev-RGB.png?1475234180,blog
,101,second_story,second_story,second_story,Some more content,"Lorem ipsum dolor sit amet, ius ornatus molestie te, errem fierent ad mel. Ad debet timeam his, tibique delectus no nam. Pro meis quaestio ullamcorper ea, et sit ullum convenire, sit no vocent constituto. Eleifend delicatissimi cu sit, labores voluptua mei an. Veri periculis constituam id sit.
Affert regione in mea, ea quo dicam dissentiunt. Omnesque reprimique intellegam has ea. Vel et choro appetere. Ad ferri feugait conceptam nec, ut sed iuvaret volumus. Vix no simul legimus senserit, his cu atqui omnium aliquid, cu mel illud porro detracto.
Pri vide ludus affert ut. Sit clita perpetua id, no decore ubique dissentiet quo. Qui ea aliquid fuisset deterruisset. Vel magna prima ut. Intellegat quaerendum qui at.
Prompta ullamcorper ius ei. Per utamur equidem admodum ex, referrentur comprehensam eos ut, an quo quem albucius. Mei graeco apeirian neglegentur no. Soleat eleifend ex cum, no mea ferri habemus.
Pri epicurei fabellas no. Euripidis suscipiantur id qui, sed cibo tincidunt eu. Partem feugiat nec no, te diceret voluptua referrentur pro. Cu congue splendide mei, cu legere iriure commune nec. Amet inani incorrupte ei duo, an error nonumy mediocritatem eos. Elitr detracto mei an, prima etiam vix cu, ea eos congue scripserit.
Ei ius dictas debitis minimum. His te elitr delicata quaerendum, est volutpat explicari assentior no, eos alii aliquid tractatos ea. Ipsum efficiendi at vix, nec ipsum labore praesent te. Pro id aeque suavitate, porro etiam detraxit ne mel, usu duis primis regione at.
An vix rebum scripta persius. Has nonumes singulis id, nam ea vidisse repudiare consequuntur. An dicant ignota est, ea ius graeci diceret, esse posse patrioque est at. Ex labore aperiri probatus mel, cibo fastidii ad usu. Mei essent alterum perpetua et. Qui everti argumentum in, in quo viderer instructior.
No vim perfecto consectetuer, vis ex utamur efficiendi. Minim veniam senserit te pri, te rebum summo suavitate qui, ex maiorum partiendo nam. Ut quo dolore graeco, et aliquip aliquam sea, ex has elitr ornatus corrumpit. Mea ex labores recteque vituperata, ad nec movet aliquip, reprehendunt mediocritatem no eam. Blandit contentiones ea mea.
Affert epicuri adipisci sea ne. Rebum nihil scribentur qui ut, no vis habemus appetere. Ex etiam nobis alterum est, te pertinax inimicus vel. Pri possit ocurreret ut.
Tation vituperata signiferumque ut pri, ad accusam scripserit contentiones eam, nam virtute hendrerit eu. Nam ne falli mandamus, ex sit choro ponderum tincidunt, qui prima epicurei ei. Eu quod reprimique vim, ut iudico labores ancillae per. Eu percipit disputando usu, quidam bonorum forensibus ei duo. Est ex minimum molestiae.",Second Story,,blog_post,Lizzie Sullivan,"Feb20,20168:21AM",http://d3n8a8pro7vhmx.cloudfront.net/themes/57b2f28833893fb081000001/attachments/original/1475234180/For-Purpose-logo-rev-RGB.png?1475234180,blog
,102,third_story,third_story,third_story,a preview of this story ,"Lorem ipsum dolor sit amet, ius ornatus molestie te, errem fierent ad mel. Ad debet timeam his, tibique delectus no nam. Pro meis quaestio ullamcorper ea, et sit ullum convenire, sit no vocent constituto. Eleifend delicatissimi cu sit, labores voluptua mei an. Veri periculis constituam id sit.
Affert regione in mea, ea quo dicam dissentiunt. Omnesque reprimique intellegam has ea. Vel et choro appetere. Ad ferri feugait conceptam nec, ut sed iuvaret volumus. Vix no simul legimus senserit, his cu atqui omnium aliquid, cu mel illud porro detracto.
Pri vide ludus affert ut. Sit clita perpetua id, no decore ubique dissentiet quo. Qui ea aliquid fuisset deterruisset. Vel magna prima ut. Intellegat quaerendum qui at.
Prompta ullamcorper ius ei. Per utamur equidem admodum ex, referrentur comprehensam eos ut, an quo quem albucius. Mei graeco apeirian neglegentur no. Soleat eleifend ex cum, no mea ferri habemus.
Pri epicurei fabellas no. Euripidis suscipiantur id qui, sed cibo tincidunt eu. Partem feugiat nec no, te diceret voluptua referrentur pro. Cu congue splendide mei, cu legere iriure commune nec. Amet inani incorrupte ei duo, an error nonumy mediocritatem eos. Elitr detracto mei an, prima etiam vix cu, ea eos congue scripserit.
Ei ius dictas debitis minimum. His te elitr delicata quaerendum, est volutpat explicari assentior no, eos alii aliquid tractatos ea. Ipsum efficiendi at vix, nec ipsum labore praesent te. Pro id aeque suavitate, porro etiam detraxit ne mel, usu duis primis regione at.
An vix rebum scripta persius. Has nonumes singulis id, nam ea vidisse repudiare consequuntur. An dicant ignota est, ea ius graeci diceret, esse posse patrioque est at. Ex labore aperiri probatus mel, cibo fastidii ad usu. Mei essent alterum perpetua et. Qui everti argumentum in, in quo viderer instructior.
No vim perfecto consectetuer, vis ex utamur efficiendi. Minim veniam senserit te pri, te rebum summo suavitate qui, ex maiorum partiendo nam. Ut quo dolore graeco, et aliquip aliquam sea, ex has elitr ornatus corrumpit. Mea ex labores recteque vituperata, ad nec movet aliquip, reprehendunt mediocritatem no eam. Blandit contentiones ea mea.
Affert epicuri adipisci sea ne. Rebum nihil scribentur qui ut, no vis habemus appetere. Ex etiam nobis alterum est, te pertinax inimicus vel. Pri possit ocurreret ut.
Tation vituperata signiferumque ut pri, ad accusam scripserit contentiones eam, nam virtute hendrerit eu. Nam ne falli mandamus, ex sit choro ponderum tincidunt, qui prima epicurei ei. Eu quod reprimique vim, ut iudico labores ancillae per. Eu percipit disputando usu, quidam bonorum forensibus ei duo. Est ex minimum molestiae.",Third Story,,blog_post,Lizzie Sullivan,"Feb20,20168:22AM",http://d3n8a8pro7vhmx.cloudfront.net/themes/57b2f28833893fb081000001/attachments/original/1475234180/For-Purpose-logo-rev-RGB.png?1475234180,blog
,103,forth_story,forth_story,forth_story, A hint of what this story is about,"Lorem ipsum dolor sit amet, ius ornatus molestie te, errem fierent ad mel. Ad debet timeam his, tibique delectus no nam. Pro meis quaestio ullamcorper ea, et sit ullum convenire, sit no vocent constituto. Eleifend delicatissimi cu sit, labores voluptua mei an. Veri periculis constituam id sit.
Affert regione in mea, ea quo dicam dissentiunt. Omnesque reprimique intellegam has ea. Vel et choro appetere. Ad ferri feugait conceptam nec, ut sed iuvaret volumus. Vix no simul legimus senserit, his cu atqui omnium aliquid, cu mel illud porro detracto.
Pri vide ludus affert ut. Sit clita perpetua id, no decore ubique dissentiet quo. Qui ea aliquid fuisset deterruisset. Vel magna prima ut. Intellegat quaerendum qui at.
Prompta ullamcorper ius ei. Per utamur equidem admodum ex, referrentur comprehensam eos ut, an quo quem albucius. Mei graeco apeirian neglegentur no. Soleat eleifend ex cum, no mea ferri habemus.
Pri epicurei fabellas no. Euripidis suscipiantur id qui, sed cibo tincidunt eu. Partem feugiat nec no, te diceret voluptua referrentur pro. Cu congue splendide mei, cu legere iriure commune nec. Amet inani incorrupte ei duo, an error nonumy mediocritatem eos. Elitr detracto mei an, prima etiam vix cu, ea eos congue scripserit.
Ei ius dictas debitis minimum. His te elitr delicata quaerendum, est volutpat explicari assentior no, eos alii aliquid tractatos ea. Ipsum efficiendi at vix, nec ipsum labore praesent te. Pro id aeque suavitate, porro etiam detraxit ne mel, usu duis primis regione at.
An vix rebum scripta persius. Has nonumes singulis id, nam ea vidisse repudiare consequuntur. An dicant ignota est, ea ius graeci diceret, esse posse patrioque est at. Ex labore aperiri probatus mel, cibo fastidii ad usu. Mei essent alterum perpetua et. Qui everti argumentum in, in quo viderer instructior.
No vim perfecto consectetuer, vis ex utamur efficiendi. Minim veniam senserit te pri, te rebum summo suavitate qui, ex maiorum partiendo nam. Ut quo dolore graeco, et aliquip aliquam sea, ex has elitr ornatus corrumpit. Mea ex labores recteque vituperata, ad nec movet aliquip, reprehendunt mediocritatem no eam. Blandit contentiones ea mea.
Affert epicuri adipisci sea ne. Rebum nihil scribentur qui ut, no vis habemus appetere. Ex etiam nobis alterum est, te pertinax inimicus vel. Pri possit ocurreret ut.
Tation vituperata signiferumque ut pri, ad accusam scripserit contentiones eam, nam virtute hendrerit eu. Nam ne falli mandamus, ex sit choro ponderum tincidunt, qui prima epicurei ei. Eu quod reprimique vim, ut iudico labores ancillae per. Eu percipit disputando usu, quidam bonorum forensibus ei duo. Est ex minimum molestiae.",Forth Story,,blog_post,Lizzie Sullivan,"Feb20,20168:23AM",http://d3n8a8pro7vhmx.cloudfront.net/themes/57b2f28833893fb081000001/attachments/original/1475234180/For-Purpose-logo-rev-RGB.png?1475234180,blog
,104,fifth_story,fifth_story,fifth_story, A hint of what this story is about,"Lorem ipsum dolor sit amet, ius ornatus molestie te, errem fierent ad mel. Ad debet timeam his, tibique delectus no nam. Pro meis quaestio ullamcorper ea, et sit ullum convenire, sit no vocent constituto. Eleifend delicatissimi cu sit, labores voluptua mei an. Veri periculis constituam id sit.
Affert regione in mea, ea quo dicam dissentiunt. Omnesque reprimique intellegam has ea. Vel et choro appetere. Ad ferri feugait conceptam nec, ut sed iuvaret volumus. Vix no simul legimus senserit, his cu atqui omnium aliquid, cu mel illud porro detracto.
Pri vide ludus affert ut. Sit clita perpetua id, no decore ubique dissentiet quo. Qui ea aliquid fuisset deterruisset. Vel magna prima ut. Intellegat quaerendum qui at.
Prompta ullamcorper ius ei. Per utamur equidem admodum ex, referrentur comprehensam eos ut, an quo quem albucius. Mei graeco apeirian neglegentur no. Soleat eleifend ex cum, no mea ferri habemus.
Pri epicurei fabellas no. Euripidis suscipiantur id qui, sed cibo tincidunt eu. Partem feugiat nec no, te diceret voluptua referrentur pro. Cu congue splendide mei, cu legere iriure commune nec. Amet inani incorrupte ei duo, an error nonumy mediocritatem eos. Elitr detracto mei an, prima etiam vix cu, ea eos congue scripserit.
